id,username,gender,birthday,location,joined,days_watched,mean_score,total_entries,watching,completed,on_hold,dropped,plan_to_watch,rewatched,episodes_watched
1,Xinil,Male,1985-03-04T00:00:00+00:00,California,2004-11-05T00:00:00+00:00,142.3,7.37,399,1,233,8,93,64,60,8481
3,Aokaado,Male,,"Oslo, Norway",2004-11-11T00:00:00+00:00,68.7,7.34,343,23,137,99,44,40,15,4073
4,Crystal,Female,,"Melbourne, Australia",2004-11-13T00:00:00+00:00,212.8,6.68,1000,16,636,303,0,45,10,12781
9,Arcane,,,,2004-12-05T00:00:00+00:00,30.0,7.71,66,5,54,4,3,0,0,1817
18,Mad,,,,2005-01-03T00:00:00+00:00,52.0,6.27,153,1,114,10,5,23,42,3038
20,vondur,Male,1988-01-25T00:00:00+00:00,"Bergen, Norway",2005-01-05T00:00:00+00:00,73.1,8.06,138,11,94,11,2,20,7,4374
23,Amuro,,1988-02-22T00:00:00+00:00,Canada,2005-01-23T00:00:00+00:00,142.5,7.41,392,20,298,5,19,50,0,8565
36,Baman,Male,,Land of Rain and Fjords,2005-02-05T00:00:00+00:00,276.5,5.91,1588,30,1166,10,55,327,36,16569
37,megan,Female,1987-06-18T00:00:00+00:00,"San Diego, California",2005-02-12T00:00:00+00:00,22.7,8.07,108,8,71,9,6,14,0,1346
44,beddan,Male,,,2005-02-21T00:00:00+00:00,18.6,7.6,37,0,37,0,0,0,0,1083
47,kei-clone,Male,,31f288172a11dea9f2781a6d87e0a200,2005-03-09T00:00:00+00:00,34.5,6.84,163,15,104,22,3,19,1,2054
48,seif,Female,1987-12-31T00:00:00+00:00,South-east Asia,2005-03-12T00:00:00+00:00,197.2,6.28,559,16,488,35,18,2,283,12349
53,Ladholyman,,,,2005-03-19T00:00:00+00:00,11.5,9.24,51,0,51,0,0,0,0,693
66,Hiromi,Male,1990-02-09T00:00:00+00:00,"Calgary, AB",2005-04-01T00:00:00+00:00,70.6,7.53,211,34,148,13,6,10,50,4094
67,ShadowOz,,,,2005-04-03T00:00:00+00:00,48.4,8.23,127,1,97,14,2,13,0,2809
70,Cruzle,Male,1983-11-09T00:00:00+00:00,,2005-04-14T00:00:00+00:00,78.0,7.18,204,30,135,9,8,22,15,4696
71,Smoka,,,,2005-04-21T00:00:00+00:00,22.9,8.01,80,2,67,11,0,0,0,1295
72,james2k,Male,,,2005-04-22T00:00:00+00:00,20.5,8.37,76,4,50,11,11,0,0,1179
77,Emp,Female,,,2005-04-26T00:00:00+00:00,67.5,6.38,312,13,297,0,0,2,0,3955
80,koalatees,,1991-10-24T00:00:00+00:00,,2005-04-27T00:00:00+00:00,12.2,7.1,76,4,31,0,41,0,0,744
81,Ramp,Male,1983-10-17T00:00:00+00:00,001,2005-04-27T00:00:00+00:00,63.1,8.06,150,10,130,4,4,2,2,3764
82,Achtor,Male,1989-06-10T00:00:00+00:00,"Paris, France",2005-04-29T00:00:00+00:00,47.0,7.17,316,6,153,36,20,101,0,2922
83,jaames,Male,,"Seattle, Washington",2005-04-30T00:00:00+00:00,12.5,8.71,19,3,16,0,0,0,0,745
88,wicked2k,Male,1989-10-01T00:00:00+00:00,"Haugesund, Norway",2005-05-09T00:00:00+00:00,151.4,7.66,720,123,395,28,28,146,3,9106
90,xich,Female,,,2005-05-10T00:00:00+00:00,58.8,8.29,193,2,122,7,53,9,5,3559
91,marvin_9martian,Female,,Canada,2005-05-10T00:00:00+00:00,36.4,6.66,125,4,57,4,31,29,1,2187
95,sorairo,Male,,Latvia,2005-05-12T00:00:00+00:00,50.5,6.09,158,1,114,10,7,26,42,2974
